ジャンル名,売上金額（千円）
食品>チーズ・乳製品>チーズ>その他,14596
食品>チーズ・乳製品>チーズ>ウォッシュ,1493
食品>チーズ・乳製品>チーズ>ウォッシュ>その他,480
食品>チーズ・乳製品>チーズ>ウォッシュ>エポワス,366
食品>チーズ・乳製品>チーズ>ウォッシュ>マンステール,11
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,636
食品>チーズ・乳製品>チーズ>シェーブル,333
食品>チーズ・乳製品>チーズ>スモークチーズ,916
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,11266
食品>チーズ・乳製品>チーズ>セミハード,21205
食品>チーズ・乳製品>チーズ>セミハード>その他,4907
食品>チーズ・乳製品>チーズ>セミハード>エダム,376
食品>チーズ・乳製品>チーズ>セミハード>エメンタール,423
食品>チーズ・乳製品>チーズ>セミハード>ゴーダ,10351
食品>チーズ・乳製品>チーズ>セミハード>チェダー,1946
食品>チーズ・乳製品>チーズ>セミハード>ミモレット,372
食品>チーズ・乳製品>チーズ>セミハード>ラクレット,2830
食品>チーズ・乳製品>チーズ>チーズフォンデュ,406
食品>チーズ・乳製品>チーズ>ハード,8725
食品>チーズ・乳製品>チーズ>ハード>その他,2120
食品>チーズ・乳製品>チーズ>ハード>エメンタール,202
食品>チーズ・乳製品>チーズ>ハード>コンテ,316
食品>チーズ・乳製品>チーズ>ハード>チェダー,212
食品>チーズ・乳製品>チーズ>ハード>パルミジャーノ・レッジャーノ,5247
食品>チーズ・乳製品>チーズ>ハード>ペコリーノ・ロマーノ,629
食品>チーズ・乳製品>チーズ>フレッシュ,12942
食品>チーズ・乳製品>チーズ>フレッシュ>その他,1018
食品>チーズ・乳製品>チーズ>フレッシュ>カッテージチーズ,170
食品>チーズ・乳製品>チーズ>フレッシュ>クリームチーズ,4261
食品>チーズ・乳製品>チーズ>フレッシュ>フロマージュブラン,60
食品>チーズ・乳製品>チーズ>フレッシュ>ブルサン,19
食品>チーズ・乳製品>チーズ>フレッシュ>マスカルポーネ,742
食品>チーズ・乳製品>チーズ>フレッシュ>モッツァレラ,6514
食品>チーズ・乳製品>チーズ>フレッシュ>リコッタ,157
食品>チーズ・乳製品>チーズ>プロセス,5276
食品>チーズ・乳製品>チーズ>白カビ,6371
食品>チーズ・乳製品>チーズ>白カビ>その他,235
食品>チーズ・乳製品>チーズ>白カビ>カマンベール,5153
食品>チーズ・乳製品>チーズ>白カビ>サンタンドレ,12
食品>チーズ・乳製品>チーズ>白カビ>ブリー,970
食品>チーズ・乳製品>チーズ>青カビ・ブルー,3725
食品>チーズ・乳製品>チーズ>青カビ・ブルー>その他,1899
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ゴルゴンゾーラ,1514
食品>チーズ・乳製品>チーズ>青カビ・ブルー>スティルトン,90
食品>チーズ・乳製品>チーズ>青カビ・ブルー>フルムダンベール,91
食品>チーズ・乳製品>チーズ>青カビ・ブルー>ロックフォール,131
食品>チーズ・乳製品>バター>有塩バター,15386
食品>チーズ・乳製品>バター>無塩バター,27222
食品>チーズ・乳製品>ヨーグルト>その他,4593
食品>チーズ・乳製品>ヨーグルト>カスピ海ヨーグルト,1923
食品>チーズ・乳製品>ヨーグルト>ギリシャヨーグルト,3447
