ジャンル名,売上金額（千円）
ダイエット・健康>サプリメント>アミノ酸>BCAA,43062
ダイエット・健康>サプリメント>アミノ酸>その他,282213
ダイエット・健康>サプリメント>アミノ酸>オルニチン,12261
ダイエット・健康>サプリメント>アミノ酸>カルニチン,28440
ダイエット・健康>サプリメント>アミノ酸>ギャバ,36689
ダイエット・健康>サプリメント>アミノ酸>マルチアミノ酸,64886
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン,50859
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>グルコサミン・コンドロイチン混合,9502
ダイエット・健康>サプリメント>グルコサミン・コンドロイチン>コンドロイチン,11422
ダイエット・健康>サプリメント>ビタミン>その他,28168
ダイエット・健康>サプリメント>ビタミン>ビタミンA,6640
ダイエット・健康>サプリメント>ビタミン>ビタミンB1,3149
ダイエット・健康>サプリメント>ビタミン>ビタミンB12,2989
ダイエット・健康>サプリメント>ビタミン>ビタミンB2,7675
ダイエット・健康>サプリメント>ビタミン>ビタミンB3・ナイアシン,15768
ダイエット・健康>サプリメント>ビタミン>ビタミンB5・パントテン酸,4823
ダイエット・健康>サプリメント>ビタミン>ビタミンB6,7221
ダイエット・健康>サプリメント>ビタミン>ビタミンB7・ビオチン,13649
ダイエット・健康>サプリメント>ビタミン>ビタミンB8,162
ダイエット・健康>サプリメント>ビタミン>ビタミンB9・葉酸,99138
ダイエット・健康>サプリメント>ビタミン>ビタミンB群,42327
ダイエット・健康>サプリメント>ビタミン>ビタミンC,183240
ダイエット・健康>サプリメント>ビタミン>ビタミンD,37301
ダイエット・健康>サプリメント>ビタミン>ビタミンE,16453
ダイエット・健康>サプリメント>ビタミン>ビタミンK,2312
ダイエット・健康>サプリメント>ビタミン>ビタミンP,755
ダイエット・健康>サプリメント>ビタミン>マルチビタミン,106894
ダイエット・健康>サプリメント>ファイトケミカル>その他,2241
ダイエット・健康>サプリメント>ファイトケミカル>アスタキサンチン,38295
ダイエット・健康>サプリメント>ファイトケミカル>カテキン,5667
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール,24404
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>その他,13600
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>ピクノジェノール,4521
ダイエット・健康>サプリメント>ファイトケミカル>ポリフェノール>レスベラトロール,6283
ダイエット・健康>サプリメント>ファイトケミカル>マルチファイトケミカル,6423
ダイエット・健康>サプリメント>ファイトケミカル>ルテイン,118590
ダイエット・健康>サプリメント>ファイトケミカル>大豆イソフラボン,324632
ダイエット・健康>サプリメント>プロテイン>その他,235612
ダイエット・健康>サプリメント>プロテイン>カゼインプロテイン,4572
ダイエット・健康>サプリメント>プロテイン>ソイプロテイン,165884
ダイエット・健康>サプリメント>プロテイン>プロテオグリカン,10956
ダイエット・健康>サプリメント>プロテイン>ホエイプロテイン,828311
ダイエット・健康>サプリメント>プロテイン>マルチプロテイン,194419
ダイエット・健康>サプリメント>プロバイオティクス>KW乳酸菌,10899
ダイエット・健康>サプリメント>プロバイオティクス>L-92乳酸菌,4861
ダイエット・健康>サプリメント>プロバイオティクス>その他,69196
ダイエット・健康>サプリメント>プロバイオティクス>アシドフィルス菌,1680
ダイエット・健康>サプリメント>プロバイオティクス>ケフィア,2125
ダイエット・健康>サプリメント>プロバイオティクス>ビフィズス菌,81968
ダイエット・健康>サプリメント>プロバイオティクス>フェカリス菌,13386
ダイエット・健康>サプリメント>プロバイオティクス>マルチプロバイオティック,19113
ダイエット・健康>サプリメント>プロバイオティクス>ラブレ菌,1871
ダイエット・健康>サプリメント>ミネラル>その他,25178
ダイエット・健康>サプリメント>ミネラル>カリウム,10102
ダイエット・健康>サプリメント>ミネラル>カルシウム,53808
ダイエット・健康>サプリメント>ミネラル>クロム,232
ダイエット・健康>サプリメント>ミネラル>ケイ素,11046
ダイエット・健康>サプリメント>ミネラル>マグネシウム,22172
ダイエット・健康>サプリメント>ミネラル>マルチミネラル,17621
ダイエット・健康>サプリメント>ミネラル>マンガン,370
ダイエット・健康>サプリメント>ミネラル>ヨウ素,1934
