ジャンル名,実売上xジャンル別係数
食品>米・雑穀>白米,1516146000
食品>米・雑穀>玄米,226508000
食品>惣菜>和風惣菜>蒲焼き,389502000
食品>その他,41867000
食品>チーズ・乳製品>コーヒー用ミルク,6439000
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>はちみつ,120832000
食品>チーズ・乳製品>その他,11505000
食品>米・雑穀>ご飯パック,120454000
食品>精肉・肉加工品>牛肉>セット・詰め合わせ,95908000
食品>チーズ・乳製品>チーズ>ウォッシュ>モン・ドール,1718000
食品>フルーツ・果物>さくらんぼ,173187000
食品>缶詰>水産物加工品,45957000
食品>フルーツ・果物>みかん,94794000
食品>惣菜>洋風惣菜>スープ,237302000
食品>惣菜>和風惣菜>セット・詰め合わせ,97020000
食品>チーズ・乳製品>チーズ>シェーブル,216000
食品>チーズ・乳製品>チーズ>スモークチーズ,1718000
食品>フルーツ・果物>メロン,61437000
食品>調味料>油>オリーブオイル,51264000
食品>惣菜>和風惣菜>みそ汁,82897000
食品>チーズ・乳製品>チーズ>セット・詰め合わせ,6684000
食品>フルーツ・果物>セット・詰め合わせ,76005000
食品>チーズ・乳製品>チーズ>その他,4667000
食品>フルーツ・果物>梅,56078000
食品>パン・ジャム・シリアル>ジャム・はちみつ>はちみつ・ハニー>マヌカハニー,92232000
食品>精肉・肉加工品>牛肉>その他,65049000
食品>フルーツ・果物>マンゴー,75156000
食品>魚介類・水産加工品>加工品>干物・燻製・スモーク食品,35586000
食品>チーズ・乳製品>チーズ>チーズフォンデュ,171000
食品>チーズ・乳製品>チーズ>プロセス,3369000
食品>チーズ・乳製品>マーガリン,1246000
食品>チーズ・乳製品>生クリーム・ホイップクリーム,5414000
食品>パン・ジャム・シリアル>クルトン,131000
食品>精肉・肉加工品>牛肉>タン,54775000
食品>パン・ジャム・シリアル>セット・詰め合わせ,11809000
食品>惣菜>洋風惣菜>ハンバーグ,68828000
食品>惣菜>和風惣菜>佃煮,33434000
